Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
2,91230,91213.2,91208.4,91194.8,91780.8
8,91420,91401.3,91396.9,91384.8,91971.9
1,91560,91589.5,91585.4,91574.9,92163
9,91770,91777.7,91773.9,91765,92354.1
5,91940,91965.9,91962.5,91955.1,92545.2
10,92160,92154,92151,92145.1,92736.3
7,92310,92342.2,92339.5,92335.2,92927.4
11,92500,92530.4,92528.1,92525.3,93118.5
12,92710,92718.6,92716.6,92715.4,93309.6
4,92890,92906.7,92905.1,92905.5,93500.7
6,93080,93094.9,93093.6,93095.5,93691.9
3,93290,93283.1,93282.2,93285.6,93883
8,93470,93471.3,93470.7,93475.7,94074.1
2,93660,93659.4,93659.2,93665.8,94265.2
9,93890,93847.6,93847.8,93855.8,94456.3
1,94060,94035.8,94036.3,94045.9,94647.4
10,94230,94224,94224.8,94236,94838.5
5,94420,94412.1,94413.3,94426.1,95029.6
11,94590,94600.3,94601.9,94616.2,95220.7
7,94780,94788.5,94790.4,94806.2,95411.8
12,94990,94976.6,94978.9,94996.3,95602.9
6,95410,95365.1,95356.4,95337.9,95985.1
4,95570,95553,95544.9,95528,96176.2
3,95740,95741,95733.5,95718.2,96367.3
2,95910,95928.9,95922,95908.4,96558.4
8,96110,96116.9,96110.5,96098.6,96749.5
1,96270,96304.8,96299.1,96288.8,96940.6
9,96460,96492.8,96487.6,96479,97131.8
5,96670,96680.7,96676.1,96669.2,97322.9
10,96850,96868.7,96864.7,96859.3,97514
7,97060,97056.6,97053.2,97049.5,97705.1
11,97230,97244.6,97241.7,97239.7,97896.2
12,97410,97432.5,97430.3,97429.9,98087.3
6,97620,97620.5,97618.8,97620.1,98278.4
3,97850,97808.4,97807.3,97810.3,98469.5
4,98020,97996.4,97995.9,98000.5,98660.6
8,98170,98184.3,98184.4,98190.7,98851.7
2,98380,98372.3,98372.9,98380.8,99042.8
9,98550,98560.2,98561.4,98571,99233.9
1,98710,98748.2,98750,98761.2,99425
10,98950,98936.1,98938.5,98951.4,99616.1
5,99120,99124.1,99127,99141.6,99807.2
11,99310,99312.1,99315.6,99331.8,99998.3
7,99500,99500,99504.1,99522,100189
12,99730,99688,99692.6,99712.1,100381
3,100140,100079,100073,100055,100763
6,100290,100267,100261,100246,100954
4,100430,100456,100450,100436,101145
2,100670,100644,100639,100626,101336
8,100820,100832,100827,100817,101527
1,100980,101021,101016,101007,101718
9,101200,101209,101205,101197,101909
5,101340,101397,101393,101388,102100
10,101540,101586,101582,101578,102292
7,101760,101774,101770,101768,102483
11,101930,101962,101959,101959,102674
12,102160,102151,102148,102149,102865
3,102350,102339,102336,102339,103056
4,102560,102527,102525,102530,103247
6,102750,102716,102714,102720,103438
8,102910,102904,102902,102910,103629
2,103120,103092,103091,103101,103820
9,103290,103281,103279,103291,104012
1,103450,103469,103468,103481,104203
10,103640,103657,103657,103672,104394
5,103840,103846,103845,103862,104585
11,104030,104034,104034,104052,104776
7,104220,104222,104222,104243,104967
12,104440,104411,104411,104433,105158
4,104790,104796,104793,104777,105540
3,104970,104985,104982,104967,105732
8,105150,105174,105170,105158,105923
6,105390,105363,105359,105348,106114
9,105570,105552,105548,105538,106305
2,105740,105741,105737,105729,106496
10,105970,105930,105925,105919,106687
1,106090,106118,106114,106110,106878
11,106310,106307,106303,106300,107069
5,106460,106496,106492,106490,107260
7,106660,106685,106681,106681,107451
12,106890,106874,106869,106871,107643
3,107040,107063,107058,107061,107834
4,107250,107252,107247,107252,108025
8,107390,107440,107436,107442,108216
9,107640,107629,107624,107633,108407
6,107820,107818,107813,107823,108598
10,107970,108007,108002,108013,108789
2,108210,108196,108191,108204,108980
11,108350,108385,108380,108394,109171
1,108570,108574,108568,108584,109363
7,108770,108763,108757,108775,109554
5,108990,108951,108946,108965,109745
12,109200,109140,109135,109156,109936
3,109470,109515,109515,109495,110318
8,109660,109704,109703,109686,110509
4,109870,109894,109892,109876,110700
6,110100,110083,110081,110067,110891
9,110260,110272,110270,110257,111082
2,110490,110462,110459,110448,111274
10,110640,110651,110648,110639,111465
1,110800,110840,110837,110829,111656
11,110990,111029,111026,111020,111847
5,111160,111219,111215,111211,112038
7,111410,111408,111404,111401,112229
12,111620,111597,111592,111592,112420
8,111780,111787,111781,111782,112611
3,112040,111976,111970,111973,112802
4,112220,112165,112159,112164,112994
9,112390,112354,112348,112354,113185
6,112520,112544,112537,112545,113376
10,112690,112733,112726,112736,113567
